year,party,intervention,type,count
1991,Liberal,7334,environment,308
1942,National Government,8689,environment,0
1925,United Farmers of Ontario,10,environment,0
1984,New Democratic Party,5591,environment,162
1929,United Farmers of Ontario,3,environment,0
1928,United Farmers of Ontario,1,environment,0
1937,Conservative (1867-1942),6105,environment,3
1992,Liberal,7137,environment,422
1989,Progressive Conservative,13450,environment,562
1945,Bloc populaire canadien,28,environment,0
1988,Independent,14,environment,0
2014,Green,614,environment,59
1939,Liberal,16036,environment,5
1929,Conservative (1867-1942),10222,environment,1
1928,Conservative (1867-1942),10994,environment,6
1911,Independent Conservative,137,environment,0
1967,Social Credit,803,environment,5
1946,Bloc populaire canadien,59,environment,0
1937,Co-operative Commonwealth Federation (C.C.F.),1642,environment,1
1924,Liberal,16197,environment,10
1947,Liberal Progressive,2,environment,0
1959,Liberal Labour,830,environment,0
1947,Independent,247,environment,0
1925,Conservative (1867-1942),12052,environment,2
1988,New Democratic Party,8998,environment,430
1992,Progressive Conservative,13930,environment,558
1989,Liberal,7687,environment,434
1930,Independent Liberal,2,environment,0
2015,Green,386,environment,28
2012,Bloc Québécois,302,environment,28
1936,Conservative (1867-1942),9485,environment,1
1943,Bloc populaire canadien,50,environment,0
1908,Independent Conservative,81,environment,0
1963,Liberal Labour,79,environment,0
1936,Co-operative Commonwealth Federation (C.C.F.),2169,environment,4
1961,New Democratic Party,480,environment,0
1920,Independent,40,environment,0
1949,Social Credit,1382,environment,2
1903,Independent Labour,141,environment,0
1958,Independent,9,environment,0
1905,Independent Conservative,546,environment,0
2003,Progressive Conservative,1541,environment,56
1984,Independent,80,environment,0
1901,Conservative (1867-1942),8850,environment,0
2004,Independent,22,environment,0
1978,Independent,166,environment,1
1911,Independent Liberal,10,environment,0
1915,Liberal,8802,environment,0
1971,Liberal Labour,47,environment,1
1945,Labour Progressive,70,environment,0
1921,Liberal,1187,environment,0
1936,Liberal Progressive,114,environment,1
1920,United Farmers,188,environment,0
1951,Social Credit,1982,environment,1
1936,Independent,270,environment,0
1919,Progressive,194,environment,0
1957,Social Credit,1964,environment,1
1958,Co-operative Commonwealth Federation (C.C.F.),4678,environment,11
1952,Independent Liberal,22,environment,1
2007,Independent,79,environment,3
1968,Liberal Labour,9,environment,0
1965,Liberal Labour,27,environment,0
2016,Green Party,213,environment,20
1920,Conservative (1867-1942),1374,environment,0
1910,Liberal-Conservative,758,environment,1
2015,Independent,256,environment,6
1993,Progressive Conservative,8772,environment,424
1923,Independent Progressive,336,environment,0
1912,Liberal,4892,environment,3
1960,New Party,28,environment,0
1956,Independent Liberal,4,environment,0
1944,Liberal,20404,environment,5
1901,Independent,358,environment,0
1964,Progressive Conservative,19874,environment,17
1969,Independent,4766,environment,0
1936,Reconstruction,419,environment,0
1947,Co-operative Commonwealth Federation (C.C.F.),6101,environment,5
1993,Liberal,4577,environment,427
1955,Independent Liberal,6,environment,0
1964,Liberal,24849,environment,23
1945,Independent C.C.F.,37,environment,1
2014,Independent,179,environment,6
1916,Liberal-Conservative,365,environment,0
1969,New Democratic Party,6830,environment,58
1953,Liberal Labour,89,environment,0
2002,Independent,5,environment,0
1944,Progressive Conservative,2102,environment,1
1946,Independent C.C.F.,93,environment,0
1937,Independent,196,environment,0
1954,Liberal Labour,410,environment,0
1937,Liberal Progressive,162,environment,0
1929,Independent,296,environment,0
1928,Independent,235,environment,0
1929,Liberal Progressive,836,environment,0
1928,Liberal Progressive,517,environment,0
1930,Independent Conservative,2,environment,0
1978,New Democratic Party,3761,environment,79
2004,New Democratic Party,1872,environment,149
1929,Labour,1247,environment,2
1928,Labour,958,environment,0
1997,Independent,66,environment,0
1921,Laurier Liberal,9363,environment,1
1902,Independent Labour,54,environment,0
1909,Independent Conservative,109,environment,0
1995,Reform,6324,environment,262
1979,Independent Liberal,3,environment,0
1937,Reconstruction,159,environment,0
1967,Ralliement Créditiste,1094,environment,3
1950,Independent Liberal,6,environment,0
1925,Labour,989,environment,1
1908,Independent Liberal,23,environment,0
1961,Co-operative Commonwealth Federation (C.C.F.),5073,environment,6
1923,Independent Conservative,199,environment,0
1925,Independent,65,environment,0
1996,Independent,30,environment,0
1956,Liberal,19945,environment,9
1944,Independent Liberal,120,environment,0
1931,Liberal,11996,environment,2
1940,Social Credit,927,environment,2
1919,Unionist (Liberal),1953,environment,0
1985,Liberal,11875,environment,212
1932,Progressive Conservative,16,environment,0
1963,New Democratic Party,4496,environment,12
1961,Liberal Labour,1470,environment,0
1991,Independent Conservative,91,environment,0
1955,Progressive Conservative,9927,environment,4
1942,Co-operative Commonwealth Federation (C.C.F.),2544,environment,5
1999,Bloc Québécois,3332,environment,147
1942,Conservative (1867-1942),883,environment,0
1902,Conservative (1867-1942),7519,environment,0
1979,Progressive Conservative,8493,environment,198
1960,Liberal,17853,environment,15
1952,Liberal,13569,environment,3
1950,Progressive Conservative,9279,environment,1
2001,Bloc Québécois,3397,environment,273
1939,Independent Conservative,20,environment,0
1911,Liberal,11072,environment,1
1924,Independent Conservative,242,environment,0
1977,New Democratic Party,5535,environment,100
1953,Co-operative Commonwealth Federation (C.C.F.),3388,environment,2
1992,Independent Conservative,106,environment,1
1954,Co-operative Commonwealth Federation (C.C.F.),5265,environment,3
1960,Progressive Conservative,27096,environment,38
1979,Liberal,10434,environment,110
1940,United Farmers of Ontario-Labour,5,environment,0
1950,Liberal,13372,environment,5
1908,Liberal,16701,environment,4
1952,Progressive Conservative,8714,environment,3
1968,Co-operative Commonwealth Federation (C.C.F.),97,environment,0
1965,Co-operative Commonwealth Federation (C.C.F.),221,environment,0
2000,Reform,4041,environment,134
1977,Independent,139,environment,0
1964,Independent Liberal,19,environment,0
1944,New Democracy,67,environment,0
1924,Independent Progressive,205,environment,1
1931,Progressive Conservative,15,environment,0
1903,Independent,315,environment,0
1996,New Democratic Party,526,environment,36
1956,Progressive Conservative,13360,environment,7
1905,Liberal,16036,environment,1
2011,Green,222,environment,19
1990,Reform,41,environment,2
1955,Liberal,14703,environment,13
1958,Liberal Labour,832,environment,0
1932,Liberal,11193,environment,7
1963,Co-operative Commonwealth Federation (C.C.F.),176,environment,0
2011,Independent,23,environment,0
1975,Social Credit,1353,environment,26
1938,Social Credit,1480,environment,0
1934,Progressive Conservative,29,environment,0
1974,New Democratic Party,3207,environment,72
1994,Bloc Québécois,5651,environment,293
1971,Independent,6105,environment,9
1915,Independent Conservative,90,environment,0
1903,Conservative (1867-1942),24055,environment,1
1933,Progressive Conservative,10,environment,0
1973,Liberal,19871,environment,322
1929,United Farmers of Alberta,1763,environment,2
1928,United Farmers of Alberta,2009,environment,1
1969,Liberal Labour,50,environment,2
1901,Independent Labour,84,environment,0
1974,No affiliation,1663,environment,2
1925,United Farmers of Alberta,260,environment,0
1912,Independent Conservative,80,environment,0
1998,Independent,152,environment,0
1968,Independent,2036,environment,2
1965,Independent,15,environment,1
1918,Laurier Liberal,5344,environment,2
1942,Unity,31,environment,0
1933,Liberal,11164,environment,4
1953,Independent,116,environment,0
1953,Liberal Progressive,34,environment,0
1917,Liberal-Conservative,413,environment,0
1954,Independent,54,environment,0
2013,Bloc Québécois,281,environment,15
1954,Liberal Progressive,30,environment,0
1941,Social Credit,1072,environment,1
1998,New Democratic Party,2226,environment,204
1968,New Democratic Party,3885,environment,13
1965,New Democratic Party,3279,environment,2
1959,Co-operative Commonwealth Federation (C.C.F.),4200,environment,2
1993,Independent Conservative,55,environment,3
1938,United Farmers of Ontario-Labour,59,environment,0
1918,Liberal,204,environment,0
1923,Liberal,15683,environment,7
1909,Liberal,16237,environment,3
1942,Independent,307,environment,0
1902,Independent,79,environment,0
1942,Liberal Progressive,31,environment,0
1971,New Democratic Party,8053,environment,245
1980,Liberal,15687,environment,216
1934,Liberal,12712,environment,6
1974,Independent,29,environment,1
1948,Social Credit,1300,environment,1
1930,Liberal,9108,environment,1
1938,Independent Liberal,1,environment,0
1903,Liberal-Conservative,2705,environment,0
1939,Social Credit,2744,environment,2
2003,Canadian Alliance,5609,environment,175
1967,Liberal,21772,environment,57
1922,United Farmers of Ontario,35,environment,0
1972,Independent,3230,environment,8
1995,New Democratic Party,718,environment,54
1976,Independent,66,environment,3
1927,United Farmers of Ontario,7,environment,0
1927,Conservative (1867-1942),6117,environment,0
1918,Unionist (Liberal),796,environment,1
1964,Ralliement Créditiste,3895,environment,3
1949,Progressive Conservative,10122,environment,6
1926,United Farmers of Alberta,48,environment,0
1922,Conservative (1867-1942),5507,environment,4
1940,Independent Conservative,69,environment,0
1941,New Democracy,12,environment,0
2012,Conservative,18796,environment,1017
1949,Liberal,14968,environment,8
1939,United Farmers of Ontario-Labour,83,environment,0
1924,Progressive,6267,environment,5
1920,Unionist,11024,environment,2
1914,Independent Conservative,164,environment,0
1941,Independent Liberal,17,environment,0
1967,Progressive Conservative,12767,environment,39
1917,Conservative (1867-1942),17658,environment,3
1993,Bloc Québécois,191,environment,15
1913,Liberal,6571,environment,2
1948,Independent Liberal,860,environment,0
1972,New Democratic Party,3730,environment,127
1995,Independent,26,environment,0
1943,National Government,7935,environment,0
1962,Liberal Labour,466,environment,0
1902,Liberal-Conservative,854,environment,0
1992,Bloc Québécois,594,environment,36
1944,Social Credit,1887,environment,1
1919,Laurier Liberal,12775,environment,5
1940,Independent Liberal,17,environment,0
1991,Bloc Québécois,437,environment,6
1982,New Democratic Party,6076,environment,129
1938,Independent Conservative,17,environment,0
1917,Labour,90,environment,0
1951,Liberal,19636,environment,2
1957,Liberal,12217,environment,4
1935,United Farmers of Alberta,1078,environment,1
1982,Independent,86,environment,6
1948,Independent Progressive Conservative,11,environment,0
1904,Liberal,16664,environment,0
1951,Progressive Conservative,12737,environment,1
1957,Progressive Conservative,11605,environment,3
1927,Labour,639,environment,0
1921,United Farmers of Ontario-Labour,18,environment,0
1927,Liberal Progressive,600,environment,0
1927,Independent,292,environment,0
1921,Progressive,568,environment,1
1964,Social Credit,1486,environment,0
1935,Independent Labour,166,environment,2
1941,Independent Conservative,73,environment,0
1919,Liberal,625,environment,1
1922,Labour,285,environment,0
1945,National Government,1072,environment,0
1940,New Democracy,22,environment,0
1922,Independent,25,environment,0
1981,Liberal,20208,environment,243
1970,Liberal Labour,27,environment,1
1972,Liberal Labour,12,environment,0
1951,Independent Liberal,18,environment,0
1957,Independent Liberal,29,environment,1
1910,Conservative (1867-1942),12136,environment,2
1952,Social Credit,1318,environment,0
1947,Bloc populaire canadien,117,environment,0
1946,Independent,116,environment,0
1946,Liberal Progressive,6,environment,0
1967,Independent Progressive Conservative,194,environment,1
1932,Progressive,166,environment,0
1911,Nationalist,3,environment,0
1966,New Democratic Party,6768,environment,25
1945,Independent,96,environment,0
1945,Liberal Progressive,3,environment,0
1983,Progressive Conservative,15306,environment,182
1956,Social Credit,2241,environment,1
1940,Liberal,8948,environment,2
1945,Unity,9,environment,0
1998,Reform,6077,environment,185
1994,Liberal,12627,environment,743
1935,Conservative (1867-1942),12317,environment,4
1987,New Democratic Party,10934,environment,283
1940,Progressive Conservative,15,environment,0
1983,Liberal,21690,environment,209
1943,Unity,44,environment,0
1914,Liberal,15471,environment,1
1987,Independent,5,environment,0
1955,Social Credit,1943,environment,2
1994,Progressive Conservative,104,environment,3
1949,Independent Progressive Conservative,5,environment,0
2013,Liberal,4088,environment,181
1943,Liberal Progressive,55,environment,0
1979,Social Credit,494,environment,8
1943,Independent,282,environment,0
1950,Social Credit,1016,environment,0
1931,Progressive,164,environment,0
1962,Co-operative Commonwealth Federation (C.C.F.),67,environment,0
1926,Labour,824,environment,1
1921,Unionist (Liberal),1621,environment,0
1916,Conservative (1867-1942),9710,environment,2
1966,Independent,473,environment,0
1913,Independent Conservative,111,environment,0
1904,Independent Liberal,1,environment,0
1926,Liberal Progressive,2,environment,0
1926,Independent,344,environment,2
1923,Progressive,4510,environment,2
1966,Co-operative Commonwealth Federation (C.C.F.),435,environment,5
1941,Progressive Conservative,100,environment,0
1970,New Democratic Party,7170,environment,100
1973,Social Credit,2516,environment,31
1999,Liberal,10520,environment,465
1996,Reform,5046,environment,166
1943,Co-operative Commonwealth Federation (C.C.F.),3416,environment,1
1930,Progressive,416,environment,1
1934,Progressive,101,environment,0
1927,United Farmers of Alberta,1562,environment,1
1986,New Democratic Party,9596,environment,189
1933,Progressive,63,environment,0
1957,Independent Progressive Conservative,122,environment,0
1938,Liberal,15788,environment,4
1926,Conservative (1867-1942),14282,environment,2
1916,Labour,37,environment,0
1948,Progressive Conservative,11748,environment,2
1922,United Farmers of Alberta,54,environment,1
1918,Progressive,14,environment,0
1967,Independent Liberal,2,environment,0
1910,Independent,37,environment,0
1910,Labour,30,environment,0
1986,Independent,5,environment,0
1945,Conservative (1867-1942),4,environment,0
2000,Independent,25,environment,1
1901,Liberal-Conservative,711,environment,0
2016,Bloc Québécois,344,environment,21
1904,Independent Conservative,352,environment,0
1946,Co-operative Commonwealth Federation (C.C.F.),5318,environment,7
1999,Progressive Conservative,1776,environment,122
1970,Independent,4974,environment,1
1945,Co-operative Commonwealth Federation (C.C.F.),3168,environment,5
1941,Liberal,11706,environment,1
1935,Liberal Progressive,124,environment,0
1935,Independent,394,environment,1
1949,Independent Liberal,148,environment,0
1990,Independent,333,environment,4
1935,Labour,1070,environment,0
1962,New Democratic Party,4146,environment,7
1947,Independent C.C.F.,141,environment,1
1964,Liberal Labour,112,environment,0
1933,Independent,546,environment,0
1973,New Democratic Party,7691,environment,139
1933,Liberal Progressive,140,environment,0
1937,Independent Conservative,3,environment,0
1953,Liberal,13664,environment,2
1931,Conservative (1867-1942),13875,environment,3
1933,Labour,754,environment,0
1954,Liberal,13918,environment,9
2008,Independent,183,environment,18
1998,Progressive Conservative,1815,environment,96
1968,Progressive Conservative,8721,environment,15
1965,Progressive Conservative,7243,environment,4
1960,Co-operative Commonwealth Federation (C.C.F.),6687,environment,5
1958,Independent Liberal,57,environment,0
1952,Co-operative Commonwealth Federation (C.C.F.),3068,environment,5
1909,Labour,24,environment,0
1973,No affiliation,6328,environment,6
1923,Independent,7,environment,0
1925,Independent Conservative,239,environment,0
1910,Nationalist,2,environment,0
1909,Independent,11,environment,0
1942,Liberal,15285,environment,6
1923,Labour,824,environment,0
1902,Liberal,1974,environment,1
1956,Co-operative Commonwealth Federation (C.C.F.),6774,environment,4
1971,Progressive Conservative,17889,environment,325
1934,Labour,722,environment,3
1930,Labour,673,environment,2
1934,Independent,558,environment,0
1911,Conservative (1867-1942),9664,environment,0
1934,Liberal Progressive,66,environment,0
1974,Liberal,12348,environment,172
1930,Independent,231,environment,0
1930,Liberal Progressive,264,environment,0
1947,Independent Liberal,534,environment,0
1942,Progressive Conservative,279,environment,0
1955,Co-operative Commonwealth Federation (C.C.F.),5118,environment,8
1949,Independent C.C.F.,29,environment,0
1936,Independent Conservative,6,environment,0
1966,Ralliement Créditiste,2345,environment,3
1908,Conservative (1867-1942),15745,environment,4
1988,Independent Liberal,20,environment,1
1961,New Party,157,environment,0
1974,Progressive Conservative,9750,environment,171
1935,Progressive,119,environment,1
1971,Liberal,22726,environment,310
1980,New Democratic Party,4122,environment,128
1954,Progressive Conservative,8571,environment,5
1905,Conservative (1867-1942),14349,environment,1
1973,Independent,139,environment,6
1901,Independent Conservative,523,environment,0
1953,Progressive Conservative,9510,environment,1
1904,Liberal-Conservative,2213,environment,0
1950,Co-operative Commonwealth Federation (C.C.F.),3436,environment,0
1932,Conservative (1867-1942),13435,environment,2
1925,Independent Progressive,380,environment,0
1962,Social Credit,1261,environment,0
1998,Liberal,10802,environment,421
1968,Liberal,12278,environment,32
1965,Liberal,11900,environment,9
1979,Independent,53,environment,1
1943,Social Credit,1873,environment,1
1950,Liberal Progressive,32,environment,0
1950,Independent,129,environment,0
1908,Independent,28,environment,0
1959,Progressive Conservative,18143,environment,16
1908,Labour,3,environment,0
1990,Bloc Québécois,21,environment,0
1966,Social Credit,1086,environment,2
1944,National Government,11551,environment,2
1977,Liberal,22893,environment,300
1924,United Farmers of Alberta,106,environment,0
1996,Progressive Conservative,99,environment,2
1903,Liberal,8821,environment,3
1905,Independent,33,environment,0
1963,Liberal,16424,environment,15
2000,Bloc Québécois,3523,environment,131
1958,Independent Progressive Conservative,86,environment,0
1955,Independent,100,environment,0
2016,Independent,12,environment,1
1955,Liberal Progressive,92,environment,0
1932,Labour,705,environment,0
1985,New Democratic Party,9650,environment,248
1949,Bloc populaire canadien,30,environment,0
1932,Independent,421,environment,0
1932,Liberal Progressive,302,environment,0
1956,Liberal Progressive,101,environment,0
1931,Independent,674,environment,0
1996,Liberal,9950,environment,530
1956,Independent,99,environment,0
1931,Liberal Progressive,361,environment,0
1913,Liberal-Conservative,217,environment,0
1933,Conservative (1867-1942),12726,environment,1
1931,Labour,613,environment,0
1930,United Farmers of Ontario,4,environment,0
1923,United Farmers of Ontario,24,environment,0
1918,Conservative (1867-1942),510,environment,0
1970,Ralliement Créditiste,1327,environment,6
1963,Progressive Conservative,11608,environment,8
2016,New Democratic Party,3653,environment,214
1926,Progressive,2309,environment,0
1936,Independent Liberal,2,environment,0
1909,Conservative (1867-1942),14876,environment,10
1959,Liberal,13032,environment,6
1947,Independent Progressive Conservative,70,environment,0
1979,New Democratic Party,2641,environment,90
1952,Liberal Progressive,41,environment,0
1923,Conservative (1867-1942),10878,environment,2
1952,Independent,155,environment,0
1934,Conservative (1867-1942),14222,environment,2
1911,Independent,32,environment,0
1946,Social Credit,1731,environment,3
1930,Conservative (1867-1942),8267,environment,1
1911,Labour,56,environment,0
1945,Social Credit,1469,environment,0
1963,Independent Liberal,8,environment,0
1933,Independent Labour,61,environment,0
1993,Independent,27,environment,0
1995,Bloc Québécois,4567,environment,183
1969,Progressive Conservative,12352,environment,52
1939,Co-operative Commonwealth Federation (C.C.F.),3001,environment,5
1903,Independent Liberal,5,environment,0
1924,United Farmers of Ontario,27,environment,0
1919,Unionist,16918,environment,6
1937,Liberal,9853,environment,3
1948,Bloc populaire canadien,49,environment,0
1939,Conservative (1867-1942),8881,environment,3
1929,Liberal,11600,environment,3
1928,Liberal,12804,environment,3
1924,Conservative (1867-1942),13144,environment,3
2004,Progressive Conservative,620,environment,24
1902,Independent Conservative,136,environment,0
1934,Independent Labour,117,environment,0
1925,Liberal,15812,environment,1
1978,Liberal,19108,environment,245
2010,Independent,34,environment,1
1997,Progressive Conservative,834,environment,51
1921,Independent,30,environment,0
1933,United Farmers of Alberta,1007,environment,0
1921,Nationalist Liberal,580,environment,0
1915,Labour,50,environment,0
1927,Progressive,378,environment,0
1936,Liberal,14636,environment,6
1959,Independent Liberal,1,environment,0
1922,Progressive,3291,environment,3
1944,Unity,48,environment,0
1968,Independent Progressive Conservative,28,environment,0
1912,Labour,12,environment,0
1993,New Democratic Party,2879,environment,298
2015,Liberal,3800,environment,209
1923,United Farmers of Alberta,127,environment,0
1944,Liberal Progressive,74,environment,0
1901,Liberal,2936,environment,2
1944,Independent,491,environment,0
1934,United Farmers of Alberta,944,environment,1
1930,United Farmers of Alberta,991,environment,1
1964,New Democratic Party,6828,environment,13
1969,Liberal,17565,environment,84
1944,Co-operative Commonwealth Federation (C.C.F.),4287,environment,3
1921,Conservative (1867-1942),1493,environment,0
1992,New Democratic Party,4028,environment,312
1988,Progressive Conservative,22640,environment,663
1931,United Farmers of Alberta,915,environment,1
1915,Conservative (1867-1942),8358,environment,1
1950,Liberal Labour,30,environment,0
1947,Progressive Conservative,12856,environment,4
1942,Independent Liberal,195,environment,0
1961,Progressive Conservative,24351,environment,24
1920,Liberal,1795,environment,1
1912,Conservative (1867-1942),5107,environment,1
1955,Liberal Labour,295,environment,0
1958,Liberal,11325,environment,5
1991,New Democratic Party,4222,environment,231
1903,Independent Conservative,472,environment,0
2015,Forces et Démocratie,44,environment,5
1953,Independent Liberal,4,environment,0
1984,Liberal,14879,environment,187
1921,United Farmers of Ontario,11,environment,0
2003,New Democratic Party,1867,environment,140
1921,United Farmers,118,environment,0
1932,Independent Labour,58,environment,0
1931,Independent Labour,64,environment,0
1991,Independent,72,environment,1
1920,Laurier Liberal,8214,environment,0
1958,Progressive Conservative,16275,environment,12
2014,Forces et Démocratie,19,environment,4
1965,Independent Liberal,10,environment,0
1961,Liberal,15473,environment,9
2003,Independent,25,environment,0
1956,Liberal Labour,214,environment,0
1948,Independent C.C.F.,120,environment,0
1984,Progressive Conservative,13973,environment,182
2015,Conservative,10534,environment,485
1964,Co-operative Commonwealth Federation (C.C.F.),301,environment,0
1924,Labour,921,environment,3
1971,Independent Liberal,21,environment,0
1939,Liberal Progressive,127,environment,0
1939,Independent,335,environment,0
1924,Independent,28,environment,0
1947,Liberal,18365,environment,9
1972,Social Credit,884,environment,13
2004,Conservative,2767,environment,120
1932,United Farmers of Alberta,1449,environment,2
1942,New Democracy,9,environment,0
1914,Liberal-Conservative,63,environment,0
1960,Liberal Labour,1068,environment,0
1952,Liberal Labour,79,environment,0
1941,Unity,44,environment,0
1910,Liberal,13998,environment,5
1975,New Democratic Party,5207,environment,90
1912,Liberal-Conservative,478,environment,0
1904,Independent Labour,70,environment,0
1986,Liberal,11471,environment,174
1942,Social Credit,1523,environment,0
2000,Liberal,7727,environment,303
1974,Social Credit,863,environment,10
1948,Independent,128,environment,1
1940,Co-operative Commonwealth Federation (C.C.F.),1301,environment,2
1948,Liberal Progressive,2,environment,0
1999,New Democratic Party,2348,environment,207
1922,Independent Conservative,191,environment,0
1953,Social Credit,1278,environment,0
1940,Conservative (1867-1942),771,environment,0
1941,Independent,138,environment,0
1970,Liberal,18523,environment,150
1954,Social Credit,1214,environment,1
1941,Liberal Progressive,30,environment,0
1935,Liberal,10270,environment,2
1918,Unionist,6146,environment,2
1990,Liberal,9528,environment,600
1962,Progressive Conservative,18494,environment,21
1970,Progressive Conservative,13420,environment,145
1963,Ralliement Créditiste,1529,environment,1
1999,Independent,83,environment,0
1944,Bloc populaire canadien,80,environment,0
1990,Progressive Conservative,17726,environment,762
1962,Liberal,12310,environment,7
2013,Green,466,environment,45
1968,Social Credit,165,environment,1
1965,Social Credit,770,environment,1
1935,Progressive Conservative,27,environment,0
1920,Unionist (Liberal),1324,environment,0
1914,Conservative (1867-1942),14090,environment,1
1972,Independent Liberal,57,environment,2
1951,Liberal Labour,121,environment,0
1957,Liberal Labour,493,environment,0
1986,Progressive Conservative,24649,environment,417
1996,Bloc Québécois,4530,environment,216
1975,Independent,152,environment,0
2000,Progressive Conservative,1437,environment,77
1938,Liberal Progressive,171,environment,0
1938,Independent,663,environment,0
1922,Independent Progressive,135,environment,0
1971,Social Credit,1249,environment,10
1917,Independent Conservative,129,environment,0
1916,Liberal,11711,environment,4
1968,Ralliement Créditiste,1153,environment,1
1965,Ralliement Créditiste,1562,environment,2
1938,Co-operative Commonwealth Federation (C.C.F.),1911,environment,2
1983,Independent,67,environment,0
1963,Social Credit,2010,environment,1
1987,Liberal,11673,environment,188
1949,Liberal Labour,9,environment,0
1927,Independent Liberal,7,environment,0
1914,Labour,77,environment,0
1994,New Democratic Party,716,environment,64
1971,Ralliement Créditiste,463,environment,12
1943,Liberal,15502,environment,9
2013,Independent,199,environment,12
1966,Liberal,26773,environment,47
1945,Progressive Conservative,6780,environment,4
1926,Liberal,12441,environment,3
1938,Conservative (1867-1942),10578,environment,2
1940,Unity,16,environment,0
1943,Progressive Conservative,1577,environment,2
1946,Liberal,15241,environment,5
1998,Bloc Québécois,3133,environment,132
1966,Progressive Conservative,16402,environment,27
1945,Liberal,10806,environment,4
1941,Co-operative Commonwealth Federation (C.C.F.),1823,environment,2
1983,New Democratic Party,6752,environment,132
2011,Bloc Québécois,1206,environment,49
1944,Labour Progressive,79,environment,0
1941,Conservative (1867-1942),710,environment,3
1940,Liberal Progressive,24,environment,0
1948,Co-operative Commonwealth Federation (C.C.F.),5937,environment,7
1940,Independent,162,environment,0
1994,Independent,14,environment,1
1987,Progressive Conservative,25550,environment,479
1966,Independent Liberal,11,environment,0
1904,Independent,76,environment,0
1989,Reform,40,environment,0
1945,New Democracy,2,environment,0
1940,National Government,5509,environment,0
1943,Independent Liberal,134,environment,0
1910,Independent Conservative,116,environment,0
1990,Independent Conservative,22,environment,0
1927,Liberal,7254,environment,1
2012,Independent,158,environment,17
1919,Independent,19,environment,0
1967,Co-operative Commonwealth Federation (C.C.F.),253,environment,1
1937,Social Credit,550,environment,0
1936,United Farmers of Ontario-Labour,89,environment,0
1922,Liberal,7650,environment,0
1909,Liberal-Conservative,732,environment,1
1929,Progressive,682,environment,1
1928,Progressive,626,environment,1
2005,Independent,68,environment,1
1991,Reform,32,environment,1
1949,Conservative (1867-1942),1,environment,0
1981,New Democratic Party,4784,environment,167
1925,Progressive,8480,environment,3
2012,New Democratic Party,13926,environment,1285
2004,Canadian Alliance,2722,environment,125
1978,Social Credit,809,environment,20
1916,Independent Conservative,166,environment,0
1946,Independent Liberal,580,environment,0
1921,Unionist,10585,environment,1
1917,Liberal,18984,environment,2
1913,Conservative (1867-1942),6505,environment,0
1982,Progressive Conservative,15257,environment,190
1992,Reform,25,environment,1
